setting,reasoning,overall_acc,bias_acc,bias_ci_lo,bias_ci_hi,pricing_acc,pricing_ci_lo,pricing_ci_hi
bg,none,0.6308,0.6418,0.5581,0.7256,0.455,0.4231,0.4869
bg,low,0.6711,0.6842,0.6535,0.7148,0.4625,0.4193,0.5057
bg,medium,0.6836,0.6984,0.6654,0.7314,0.4475,0.4049,0.4901
bg,high,0.6958,0.7107,0.6786,0.7427,0.4588,0.4182,0.4993
bg_dp,none,0.6703,0.6825,0.6425,0.7225,0.475,0.4357,0.5143
bg_dp,low,0.6752,0.6883,0.6452,0.7314,0.4663,0.429,0.5035
bg_dp,medium,0.6841,0.6987,0.6716,0.7257,0.4512,0.4089,0.4936
bg_dp,high,0.6831,0.6974,0.6597,0.7352,0.4538,0.4148,0.4927
bg_ep,none,0.6631,0.6735,0.6371,0.7099,0.4975,0.4554,0.5396
bg_ep,low,0.6828,0.6977,0.6604,0.735,0.4438,0.4068,0.4807
bg_ep,medium,0.6985,0.7128,0.6794,0.7462,0.47,0.428,0.512
bg_ep,high,0.6971,0.7102,0.6832,0.7373,0.4862,0.4501,0.5224
bg_dp_ep,none,0.6611,0.6719,0.6445,0.6992,0.4888,0.4562,0.5213
bg_dp_ep,low,0.6588,0.6704,0.641,0.6998,0.4738,0.4417,0.5058
bg_dp_ep,medium,0.6918,0.7057,0.6879,0.7236,0.4687,0.4344,0.5031
bg_dp_ep,high,0.6922,0.7057,0.6795,0.732,0.4762,0.4455,0.507
