setting,reasoning,status,LLM_Accuracy,LLM_CI_low,LLM_CI_high,Random_Baseline,Human_Ceiling
bg,high,ok,0.715,0.675,0.755,0.568,0.831
bg_dp,high,ok,0.707,0.677,0.736,0.593,0.831
bg_ep,high,ok,0.702,0.665,0.738,0.552,0.831
bg_dp_ep,high,ok,0.705,0.664,0.746,0.572,0.831
