setting,reasoning,overall_acc,bias_acc,bias_ci_lo,bias_ci_hi,pricing_acc,pricing_ci_lo,pricing_ci_hi
bg,none,0.618,0.7302,0.7121,0.7482,0.4762,0.4416,0.5109
bg,low,0.6194,0.7464,0.7293,0.7636,0.4575,0.4229,0.4921
bg,medium,0.6117,0.7454,0.7281,0.7628,0.4412,0.4068,0.4757
bg,high,0.6205,0.7454,0.7279,0.7628,0.4612,0.4266,0.4959
bg_dp,none,0.6022,0.7127,0.6858,0.7397,0.4612,0.4266,0.4959
bg_dp,low,0.6148,0.7421,0.7246,0.7596,0.4525,0.4179,0.4871
bg_dp,medium,0.6134,0.7465,0.7292,0.7639,0.4438,0.4092,0.4783
bg_dp,high,0.6118,0.7447,0.7275,0.7618,0.4425,0.408,0.477
bg_tools,none,0.6206,0.7122,0.6935,0.7309,0.5038,0.469,0.5385
bg_tools,low,0.6112,0.7327,0.715,0.7504,0.4562,0.4217,0.4908
bg_tools,medium,0.6099,0.7471,0.73,0.7642,0.435,0.4006,0.4694
bg_tools,high,0.6145,0.7495,0.7321,0.7669,0.4425,0.408,0.477
bg_ep,none,0.6247,0.7297,0.7114,0.748,0.4908,0.4552,0.5264
bg_ep,low,0.6124,0.7446,0.727,0.7622,0.4438,0.4092,0.4783
bg_ep,medium,0.6195,0.7436,0.7261,0.761,0.4612,0.4266,0.4959
bg_ep,high,0.6368,0.7539,0.7368,0.7711,0.4875,0.4528,0.5222
bg_dp_tools,none,0.6214,0.7274,0.7097,0.7452,0.4862,0.4515,0.521
bg_dp_tools,low,0.6098,0.7292,0.7106,0.7478,0.4575,0.4229,0.4921
bg_dp_tools,medium,0.6099,0.7481,0.731,0.7653,0.4338,0.3993,0.4682
bg_dp_tools,high,0.623,0.7499,0.7327,0.7671,0.4612,0.4266,0.4959
bg_dp_ep,none,0.6259,0.7257,0.7074,0.744,0.4988,0.464,0.5335
bg_dp_ep,low,0.6203,0.746,0.7284,0.7636,0.46,0.4254,0.4946
bg_dp_ep,medium,0.6262,0.7585,0.7412,0.7758,0.4575,0.4229,0.4921
bg_dp_ep,high,0.6261,0.7544,0.7374,0.7714,0.4625,0.4279,0.4971
bg_dp_tools_ep,none,0.6333,0.7428,0.7256,0.76,0.4938,0.459,0.5285
bg_dp_tools_ep,low,0.621,0.7453,0.7278,0.7627,0.4625,0.4279,0.4971
bg_dp_tools_ep,medium,0.618,0.7546,0.7373,0.7719,0.4438,0.4092,0.4783
bg_dp_tools_ep,high,0.6185,0.7447,0.7273,0.7622,0.4575,0.4229,0.4921
