setting,reasoning,status,LLM_Accuracy,LLM_CI_low,LLM_CI_high,Random_Baseline,Human_Ceiling
bg,none,ok,0.632,0.554,0.71,0.572,0.832
bg,low,ok,0.674,0.645,0.703,0.574,0.831
bg,medium,ok,0.687,0.655,0.718,0.589,0.832
bg,high,ok,0.698,0.668,0.728,0.589,0.832
bg_dp,none,ok,0.672,0.635,0.71,0.549,0.832
bg_dp,low,ok,0.677,0.637,0.717,0.612,0.832
bg_dp,medium,ok,0.687,0.66,0.714,0.604,0.832
bg_dp,high,ok,0.686,0.649,0.722,0.552,0.832
bg_ep,none,ok,0.665,0.631,0.699,0.575,0.832
bg_ep,low,ok,0.685,0.651,0.72,0.577,0.832
bg_ep,medium,ok,0.701,0.669,0.734,0.59,0.832
bg_ep,high,ok,0.7,0.674,0.725,0.603,0.832
bg_dp_ep,none,ok,0.664,0.638,0.689,0.591,0.831
bg_dp_ep,low,ok,0.66,0.632,0.688,0.614,0.832
bg_dp_ep,medium,ok,0.694,0.676,0.712,0.569,0.832
bg_dp_ep,high,ok,0.695,0.67,0.72,0.598,0.832
