setting,reasoning,overall_acc,bias_acc,bias_ci_lo,bias_ci_hi,pricing_acc,pricing_ci_lo,pricing_ci_hi
bg,high,0.6943,0.6979,0.6706,0.7252,0.6358,0.5919,0.6797
bg_dp,high,0.6918,0.6954,0.6706,0.7202,0.635,0.5996,0.6704
bg_ep,high,0.7007,0.7026,0.6767,0.7285,0.6716,0.632,0.7111
bg_dp_ep,high,0.6962,0.6974,0.6744,0.7203,0.6783,0.6408,0.7159
