setting,reasoning,status,LLM_Accuracy,LLM_CI_low,LLM_CI_high,Random_Baseline,Human_Ceiling
bg,high,ok,0.705,0.67,0.739,0.583,0.831
bg_dp,high,ok,0.7,0.668,0.732,0.56,0.831
bg_ep,high,ok,0.717,0.682,0.751,0.574,0.831
bg_dp_ep,high,ok,0.697,0.649,0.745,0.584,0.831
