setting,reasoning,overall_acc,bias_acc,bias_ci_lo,bias_ci_hi,pricing_acc,pricing_ci_lo,pricing_ci_hi
bg,none,0.6173,0.7289,0.7112,0.7467,0.475,0.4403,0.5097
bg,low,0.6145,0.7299,0.7108,0.749,0.4675,0.4329,0.5021
bg,medium,0.6029,0.7443,0.7269,0.7617,0.4225,0.3882,0.4568
bg,high,0.6121,0.7471,0.7298,0.7645,0.44,0.4055,0.4745
bg_dp,none,0.6226,0.7275,0.7096,0.7454,0.4888,0.454,0.5235
bg_dp,low,0.6086,0.7359,0.7183,0.7534,0.4462,0.4117,0.4808
bg_dp,medium,0.6152,0.7497,0.7327,0.7666,0.4438,0.4092,0.4783
bg_dp,high,0.6186,0.7538,0.7365,0.7712,0.4462,0.4117,0.4808
bg_tools,none,0.6198,0.7334,0.7156,0.7513,0.475,0.4403,0.5097
bg_tools,low,0.6138,0.7403,0.723,0.7576,0.4525,0.4179,0.4871
bg_tools,medium,0.6115,0.7431,0.7259,0.7604,0.4438,0.4092,0.4783
bg_tools,high,0.6257,0.7439,0.7266,0.7612,0.475,0.4403,0.5097
bg_ep,none,0.6334,0.741,0.7237,0.7582,0.4962,0.4615,0.531
bg_ep,low,0.6181,0.7382,0.7208,0.7556,0.465,0.4304,0.4996
bg_ep,medium,0.6227,0.7532,0.736,0.7704,0.4562,0.4217,0.4908
bg_ep,high,0.6207,0.7458,0.7284,0.7633,0.4612,0.4266,0.4959
bg_dp_tools,none,0.6302,0.7303,0.7124,0.7482,0.5025,0.4678,0.5372
bg_dp_tools,low,0.6116,0.7394,0.7219,0.7568,0.4488,0.4142,0.4833
bg_dp_tools,medium,0.6145,0.7475,0.7302,0.7647,0.445,0.4105,0.4795
bg_dp_tools,high,0.6198,0.754,0.7366,0.7713,0.4488,0.4142,0.4833
bg_dp_ep,none,0.5593,0.625,0.4092,0.8409,0.4762,0.4416,0.5109
bg_dp_ep,low,0.6139,0.7424,0.7251,0.7596,0.45,0.4155,0.4845
bg_dp_ep,medium,0.6139,0.7493,0.7322,0.7664,0.4412,0.4068,0.4757
bg_dp_ep,high,0.6294,0.7613,0.7441,0.7786,0.4612,0.4266,0.4959
bg_dp_tools_ep,none,0.6198,0.7392,0.7217,0.7567,0.4675,0.4329,0.5021
bg_dp_tools_ep,low,0.6127,0.7364,0.718,0.7548,0.455,0.4204,0.4896
bg_dp_tools_ep,medium,0.612,0.7469,0.7297,0.7641,0.44,0.4055,0.4745
bg_dp_tools_ep,high,0.6284,0.7506,0.733,0.7682,0.4725,0.4378,0.5072
